TIME,dpStatusHTTPConnectionsXMLManager,dpStatusHTTPConnectionsreqTenSec,dpStatusHTTPConnectionsreqOneMin,dpStatusHTTPConnectionsreqTenMin,dpStatusHTTPConnectionsreqOneHr,dpStatusHTTPConnectionsreqOneDay,dpStatusHTTPConnectionsreuseTenSec,dpStatusHTTPConnectionsreuseOneMin,dpStatusHTTPConnectionsreuseTenMin,dpStatusHTTPConnectionsreuseOneHr,dpStatusHTTPConnectionsreuseOneDay,dpStatusHTTPConnectionscreateTenSec,dpStatusHTTPConnectionscreateOneMin,dpStatusHTTPConnectionscreateTenMin,dpStatusHTTPConnectionscreateOneHr,dpStatusHTTPConnectionscreateOneDay,dpStatusHTTPConnectionsreturnTenSec,dpStatusHTTPConnectionsreturnOneMin,dpStatusHTTPConnectionsreturnTenMin,dpStatusHTTPConnectionsreturnOneHr,dpStatusHTTPConnectionsreturnOneDay,dpStatusHTTPConnectionsofferTenSec,dpStatusHTTPConnectionsofferOneMin,dpStatusHTTPConnectionsofferTenMin,dpStatusHTTPConnectionsofferOneHr,dpStatusHTTPConnectionsofferOneDay,dpStatusHTTPConnectionsdestroyTenSec,dpStatusHTTPConnectionsdestroyOneMin,dpStatusHTTPConnectionsdestroyTenMin,dpStatusHTTPConnectionsdestroyOneHr,dpStatusHTTPConnectionsdestroyOneDay
1580200037.671415,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
1580200037.671415,default,2,2,20,120,2893,0,0,0,0,0,2,2,20,120,2893,2,2,20,120,2893,0,0,0,0,2,2,2,20,120,2891
1580200037.671415,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200037.671415,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200037.671415,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200037.671415,mbaas_uri_to_host_xmlmgr,11604,68144,672527,3917180,48812026,11600,68115,672226,3914430,48759902,4,29,301,2750,52124,11611,68145,672587,3917566,48821089,11606,68124,672407,3916466,48794037,5,21,180,1100,27052
1580200638.88742,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
1580200638.88742,default,1,1,20,120,2892,0,0,0,0,0,1,1,20,120,2892,1,1,20,120,2892,0,0,0,0,2,1,1,20,120,2890
1580200638.88742,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200638.88742,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200638.88742,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580200638.88742,mbaas_uri_to_host_xmlmgr,11699,68546,684842,3944478,49026509,11693,68512,684264,3941773,48974386,6,34,578,2705,52124,11684,68514,684924,3944894,49035661,11681,68492,684740,3943803,49008601,3,22,184,1091,27060
1580201239.408388,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
1580201239.408388,default,1,2,20,120,2892,0,0,0,0,0,1,2,20,120,2892,1,2,20,120,2892,0,0,0,0,2,1,2,20,120,2890
1580201239.408388,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201239.408388,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201239.408388,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201239.408388,mbaas_uri_to_host_xmlmgr,11854,65653,667259,3981516,49026509,11852,65624,666959,3978819,48974386,2,29,300,2697,52124,11865,65700,667334,3981930,49035661,11862,65683,667140,3980846,49008601,3,17,194,1084,27060
1580201839.955009,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
1580201839.955009,default,2,3,20,120,2892,0,0,0,0,0,2,3,20,120,2892,2,3,20,120,2892,0,0,0,0,2,2,3,20,120,2890
1580201839.955009,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201839.955009,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201839.955009,deploySNIArtifacts-XMLMgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580201839.955009,mbaas_uri_to_host_xmlmgr,12148,67115,688469,4019732,49026509,12145,67087,688173,4017146,48974386,3,28,296,2586,52124,12164,67122,688528,4020130,49035661,12161,67103,688351,4019046,49008601,3,19,177,1084,27060
1580202440.422387,CustomDomainsAPIRouter-XMLMgr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
1580202440.422387,default,2,2,19,119,2892,0,0,0,0,0,2,2,19,119,2892,2,2,19,119,2892,0,0,0,0,2,2,2,19,119,2890
1580202440.422387,default-attempt-stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580202440.422387,default-wsrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
